Sample_ID,Truck_Mass_t,Vehicles_Per_Day,Steel_Yield_Strength_MPa,Stress_Amplitude_MPa,SN_Coefficient_C,SN_Exponent_m,Cycles_Per_Day
2112,30.43,4198,380.6,101.4,1.14683E+12,3.008,8396
2113,23.7,4283,337.8,89.54,1.07735E+12,3.126,8566
2114,15.09,4202,353.7,108.1,9.29854E+11,2.96,8404
2115,23.52,4266,401.8,112.27,1.11698E+12,2.804,8532
2116,28.59,4292,350.2,73.54,8.01533E+11,2.784,8584
2117,31.39,4268,349.9,84.64,1.11339E+12,2.939,8536
2118,28.37,4139,293.2,79.54,1.01759E+12,2.78,8278
2119,32.97,4205,368.3,94.57,9.75802E+11,3.104,8410
2120,34.16,4154,330.6,84.57,9.34624E+11,2.859,8308
2121,34.14,4173,346.9,87.07,9.09984E+11,3.079,8346
2122,28.24,4264,368.1,100.59,1.01415E+12,2.703,8528
2123,28.72,4223,384.4,82.02,8.38133E+11,2.898,8446
2124,26.94,4251,329.1,76.53,1.19056E+12,2.932,8502
2125,22.98,4103,363.8,79.14,1.04584E+12,3.107,8206
2126,36.79,4192,367.8,88.39,8.99306E+11,2.818,8384
2127,20.78,4218,343.4,108.72,6.2646E+11,2.723,8436
2128,27.8,4219,351.1,113.8,1.06856E+12,2.888,8438
2129,29.6,4180,333,109.97,9.25966E+11,2.778,8360
2130,15.4,4139,392.8,129.88,8.94284E+11,3.15,8278
2131,32.7,4171,348.1,100.46,1.02244E+12,3.23,8342
2132,26.14,4139,336.8,97.17,9.71641E+11,3.085,8278
2133,29.59,4137,324.6,110.31,9.32879E+11,3.046,8274
2134,26.26,4168,367.1,110.97,9.14441E+11,3.004,8336
2135,19.04,4253,323,81.68,8.80944E+11,3.165,8506
2136,29.42,4132,388,115.78,1.03174E+12,2.936,8264
2137,28.88,4301,372.1,86.28,1.01983E+12,3.223,8602
2138,34.23,4304,354.6,73.51,1.18447E+12,3.212,8608
2139,31.1,4069,338.3,73.98,8.35134E+11,2.972,8138
2140,18.15,4124,346.5,105.3,7.2444E+11,3.021,8248
2141,34.86,4063,307,95.95,9.58572E+11,2.698,8126
2142,33.03,4169,324.2,100.56,8.48687E+11,2.797,8338
2143,32.85,4201,340,105.51,9.96646E+11,2.589,8402
2144,31.17,4290,300.8,123.15,9.906E+11,3.214,8580
2145,24.03,4254,300.6,103.35,1.00067E+12,2.666,8508
2146,31.45,4288,346.8,97.14,7.11466E+11,2.924,8576
2147,26.07,4213,366.1,92.09,8.81255E+11,3.12,8426
2148,45.55,4244,335.7,115.89,8.90461E+11,3.361,8488
2149,26.84,4218,365.3,82.3,9.03836E+11,3.163,8436
2150,21.6,4133,374.2,85.35,9.96803E+11,2.827,8266
2151,26.22,4206,374.3,113.85,1.22081E+12,2.819,8412
2152,36.9,4277,344.5,87.72,1.11132E+12,3.303,8554
2153,24.84,4177,341.8,140.25,9.62654E+11,2.678,8354
2154,13.6,4272,358.4,73.08,7.8583E+11,3.115,8544
2155,37.07,4156,325,67.98,1.17815E+12,2.954,8312
2156,30.22,4079,344.9,98.41,8.74538E+11,3.348,8158
2157,25.28,4240,345.1,122.31,9.61799E+11,3.331,8480
2158,32.55,4174,359.2,100.3,9.45001E+11,2.974,8348
2159,22.72,4237,365.9,74.05,1.05281E+12,2.837,8474
2160,21.22,4113,402.7,106.15,1.22578E+12,2.923,8226
2161,33.97,4240,328.1,94.31,8.76899E+11,3.355,8480
2162,25.17,4288,329.9,107.08,1.1712E+12,2.965,8576
2163,31.45,4205,355.5,75.38,1.1383E+12,2.871,8410
2164,28.33,4289,332.8,101.74,1.05353E+12,2.854,8578
2165,33.26,4220,344.7,77.92,1.1807E+12,2.833,8440
2166,28.91,4230,390.4,82.9,1.09096E+12,2.925,8460
2167,15.97,4191,351.3,85.68,1.00287E+12,2.76,8382
2168,32.35,4271,310.5,121.95,7.83284E+11,3.24,8542
2169,25.41,4190,376.4,106.19,9.16825E+11,2.868,8380
2170,33.56,4181,364.8,126.45,9.01289E+11,2.967,8362
2171,28.94,4181,401.8,128.91,1.11255E+12,2.628,8362
2172,36.8,4192,305.5,97.22,1.07265E+12,3.205,8384
2173,26.37,4231,353.2,125.19,8.37488E+11,3.091,8462
2174,15.91,4261,338.3,84.53,1.01008E+12,3.028,8522
2175,26.33,4187,355.3,83.01,1.20958E+12,3.192,8374
2176,31.34,4260,376.5,86.84,9.87635E+11,3.243,8520
2177,26.2,4248,322.8,114.63,9.94437E+11,3.063,8496
2178,25.45,4095,332.5,122.8,9.88958E+11,3.066,8190
2179,37.1,4221,364.1,90.69,9.27684E+11,3.194,8442
2180,27.34,4179,331.4,68.3,8.88041E+11,2.984,8358
2181,34.57,4241,353.6,91.77,8.48539E+11,3.22,8482
2182,29.14,4160,335.7,78.97,8.85785E+11,3.031,8320
2183,19.57,4376,369.5,66.09,1.08842E+12,2.962,8752
2184,22.6,4173,369.4,108.55,1.08251E+12,2.891,8346
2185,26.36,4241,334.8,97.68,1.13799E+12,2.752,8482
2186,30.09,4183,375.2,90.12,8.90209E+11,3.227,8366
2187,23.38,4169,359,95.9,7.66271E+11,3.35,8338
2188,19.76,4168,324.9,94.81,1.08324E+12,2.408,8336
2189,22.15,4221,371.1,109.34,1.29744E+12,3.035,8442
2190,25.11,4142,359.5,105.55,9.47364E+11,2.851,8284
2191,22.93,4069,335.3,109.23,1.05814E+12,2.9,8138
2192,24.74,4196,333.7,69.7,1.00903E+12,2.972,8392
2193,39.41,4138,393.2,104.21,1.02481E+12,3.166,8276
2194,29.92,4224,356.2,106.35,9.59912E+11,3.151,8448
2195,23.33,4262,336.8,98.16,9.46573E+11,2.95,8524
2196,28.17,4272,292.8,116.69,8.39165E+11,2.911,8544
2197,37.7,4319,348.8,99.35,8.69376E+11,3.02,8638
2198,32.12,4186,367.4,78.26,1.14513E+12,2.878,8372
2199,27.62,4117,384.8,91.02,9.57E+11,2.792,8234
2200,20.09,4184,355.3,87.07,8.79373E+11,3.018,8368
2201,18.03,4155,395.4,81.04,1.02319E+12,3.057,8310
2202,26.17,4223,349.7,98.76,8.26638E+11,3.055,8446
2203,27.58,4223,376.2,98.3,1.01447E+12,3.148,8446
2204,18.47,4165,375.8,100.91,1.09248E+12,2.896,8330
2205,20.19,4115,349,92.4,1.10531E+12,3.283,8230
2206,27.96,4165,383.2,79.3,1.04076E+12,3.047,8330
2207,14.91,4258,401.1,107.59,1.05324E+12,2.812,8516
2208,17.87,4009,354.7,107.43,1.02669E+12,2.991,8018
2209,27.9,4294,330.1,71.04,1.13344E+12,3.282,8588
2210,31.58,4203,328.5,80.13,7.89449E+11,2.907,8406
2211,30.12,4248,348.8,91.86,8.50816E+11,3.068,8496
2212,34.2,4253,333.1,103.94,1.0927E+12,3.168,8506
2213,37.68,4201,337,100.34,7.41266E+11,2.888,8402
2214,33.6,4236,368.7,84.81,9.67363E+11,2.984,8472
2215,26.62,4265,350.6,79.33,1.06694E+12,2.902,8530
2216,41,4119,364.1,104.76,1.28374E+12,2.854,8238
2217,38.33,4291,347.9,129.61,6.72775E+11,3.139,8582
2218,33.87,4154,341.5,95.66,9.38846E+11,2.665,8308
2219,23.36,4183,369,83.39,8.39983E+11,2.98,8366
2220,30.65,4221,341,83.2,1.02513E+12,2.751,8442
2221,15.68,4182,322.8,100.22,1.00018E+12,2.739,8364
2222,26.25,4135,342,116.91,1.19249E+12,2.803,8270
2223,13.31,4233,330.8,112.88,1.06836E+12,3.025,8466
2224,25.73,4201,324.2,79.22,7.86426E+11,2.96,8402
2225,34.42,4172,341.2,90.96,1.17125E+12,3.071,8344
2226,28.38,4256,370.6,145.16,9.10231E+11,2.598,8512
2227,37.97,4201,385.4,90.11,8.16136E+11,2.935,8402
2228,28.27,4167,378.2,90.86,1.14988E+12,2.709,8334
2229,28.89,4246,374.7,97.5,1.06901E+12,3.127,8492
2230,26.47,4326,338.3,96.94,8.13611E+11,3.151,8652
2231,31.48,4141,360.8,102.23,9.65155E+11,3.126,8282
2232,28.09,4248,370.2,84.1,8.54156E+11,2.869,8496
2233,35.51,4221,363,72.93,9.31696E+11,3.108,8442
2234,37.99,4222,350.7,81.5,7.38052E+11,2.784,8444
2235,30.55,4301,321,94.97,1.09252E+12,2.804,8602
2236,21.57,4127,311.7,93.25,8.93224E+11,3.051,8254
2237,31.68,4143,324.4,121.83,7.84146E+11,2.64,8286
2238,36.46,4107,360.2,117.29,7.64609E+11,2.912,8214
2239,32.24,4193,325.2,128.52,8.93393E+11,2.834,8386
2240,30.09,4121,372.4,94.84,9.32001E+11,3.23,8242
2241,33.98,4260,347.4,104.48,8.15127E+11,2.985,8520
2242,36.25,4145,385.7,107.7,1.07201E+12,2.789,8290
2243,12.66,4234,365.4,93.76,9.83139E+11,3.074,8468
2244,37.46,4311,345.8,91.55,1.09126E+12,3.039,8622
2245,32.99,4214,349.9,106.08,7.11369E+11,3.057,8428
2246,31.24,4103,364.9,71.95,1.32416E+12,2.794,8206
2247,25.01,4280,307.3,81.33,1.10688E+12,3.088,8560
2248,29.71,4185,345.2,102.35,8.48158E+11,2.63,8370
2249,32,4229,379,112.18,1.07953E+12,3.234,8458
2250,19.44,4158,354.7,117.55,9.3192E+11,2.961,8316
2251,32.85,4207,341.1,117.3,6.16649E+11,3.18,8414
2252,28.78,4191,368.4,91.74,1.03848E+12,2.793,8382
2253,37.17,4241,321.8,104.41,1.11427E+12,2.87,8482
2254,32.42,4246,384.8,84.1,1.09546E+12,3.146,8492
2255,27.3,4184,333.8,109.96,1.07152E+12,3.278,8368
2256,28.69,4221,406.4,66.51,7.05997E+11,2.396,8442
2257,32.21,4215,350.3,109.8,8.32099E+11,2.919,8430
2258,29.25,4342,350.6,97.26,1.07081E+12,2.649,8684
2259,31.65,4258,380,86.92,1.20866E+12,2.877,8516
2260,24.08,4232,363.3,130.72,8.34723E+11,3.346,8464
2261,20.86,4125,346.4,104.97,1.07856E+12,2.749,8250
2262,24.93,4170,319.5,104.93,8.05074E+11,3.021,8340
2263,19.78,4351,346.2,81.74,9.73993E+11,2.973,8702
2264,23.7,4258,381.7,102.95,9.6898E+11,2.973,8516
2265,30.49,4149,344.7,107.09,1.13865E+12,3.23,8298
2266,18.56,4162,348.9,128.09,9.71554E+11,3.329,8324
2267,20.98,4076,364.1,69.88,8.9216E+11,3.207,8152
2268,32.77,4329,393.2,83.53,8.23149E+11,3.172,8658
2269,25.18,4227,321.3,84.41,8.78007E+11,3.052,8454
2270,28.3,4256,334.9,106.6,7.78532E+11,2.701,8512
2271,20.94,4275,358,84.17,1.11525E+12,3.228,8550
2272,22.09,4265,354.7,73.6,1.07125E+12,3.292,8530
2273,26.54,4097,348.6,127.17,8.62153E+11,2.836,8194
2274,38.15,4249,359.5,81.57,6.92881E+11,3.087,8498
2275,31.02,4211,343.7,72.04,9.3928E+11,3.119,8422
2276,18.31,4274,372.6,105.24,7.40293E+11,2.938,8548
2277,31.05,4173,326.5,109.38,1.20047E+12,3.056,8346
2278,33.9,4237,351.2,85.69,1.02237E+12,3.307,8474
2279,32.51,4145,368.3,105.02,7.15111E+11,3.199,8290
2280,21.02,4279,339.9,117.31,8.61129E+11,2.962,8558
2281,27.96,4148,364.2,92.22,9.78549E+11,3.018,8296
2282,41.1,4073,322.4,120.41,7.48653E+11,2.954,8146
2283,22.76,4193,381.3,88.36,9.26797E+11,2.705,8386
2284,30.36,4248,367.3,72.57,9.30372E+11,3.083,8496
2285,23.86,4253,398.2,87.77,1.21862E+12,3.145,8506
2286,20.73,4232,379.7,106.47,8.65858E+11,2.982,8464
2287,25.77,4261,323.9,105.69,1.12437E+12,2.758,8522
2288,34.54,4205,343.2,86.79,1.03777E+12,3.059,8410
2289,35.32,4209,367.6,83.61,9.61373E+11,3.02,8418
2290,23.07,4198,332.6,86.73,9.12133E+11,3.019,8396
2291,25.52,4230,380.5,128.94,1.18727E+12,3.149,8460
2292,23.03,4198,373.7,78.55,7.83132E+11,2.907,8396
2293,15.9,4132,379.2,83.93,8.35858E+11,2.821,8264
2294,32,4166,303.5,114.76,9.94748E+11,2.975,8332
2295,37.72,4269,309,105.18,1.30273E+12,3.105,8538
2296,37.37,4242,348.3,89.54,1.02025E+12,3.187,8484
2297,25.58,4227,273.6,99.62,1.15525E+12,3.396,8454
2298,36.34,4264,347.2,88.29,7.53117E+11,2.934,8528
2299,34.93,4248,397.9,99.56,1.08211E+12,2.879,8496
2300,26.36,4291,352.9,94.26,9.49113E+11,2.919,8582
2301,28.36,4296,360.4,100.43,8.19106E+11,2.991,8592
2302,26.18,4206,309.6,120.8,8.64724E+11,2.852,8412
2303,29.83,4159,385.1,74.55,1.35523E+12,3.215,8318
2304,39.29,4152,330.3,98.65,8.55441E+11,3.062,8304
2305,22.85,4268,358.7,141.33,1.00382E+12,2.922,8536
2306,21.24,4199,345.9,105.56,1.0195E+12,2.83,8398
2307,33.65,4214,331.5,75.77,9.96371E+11,2.721,8428
2308,28.77,4111,358.7,141.03,1.02844E+12,3.028,8222
2309,17.07,4186,377.3,120.05,1.1095E+12,3.002,8372
2310,22.35,4212,326.4,79.68,1.06513E+12,3.143,8424
2311,23.46,4297,355.9,96.36,8.88372E+11,2.406,8594
2312,24.77,4189,328,98.91,1.24269E+12,2.76,8378
2313,30.36,4177,339.5,115.21,9.57117E+11,2.621,8354
2314,34.4,4185,410.6,103.01,9.58955E+11,2.919,8370
2315,27.47,4329,358.5,83.43,8.92273E+11,2.92,8658
2316,29.33,4215,339.9,76.33,1.25314E+12,3.149,8430
2317,23.98,4079,343.6,87.87,9.33222E+11,2.896,8158
2318,34.57,4135,386.2,109.6,1.04488E+12,2.818,8270
2319,36.51,4227,372.4,104.46,8.99353E+11,2.772,8454
2320,26.87,4181,391.2,75.86,8.46203E+11,2.787,8362
2321,24.01,4149,359.6,94.24,9.23003E+11,2.641,8298
2322,40.89,4345,379,107.96,6.98904E+11,2.999,8690
2323,34.03,4131,387,113.36,1.0139E+12,3.048,8262
2324,23.11,4337,329.9,77.94,9.52414E+11,2.823,8674
2325,18.31,4225,345.1,106.2,9.12054E+11,3.131,8450
2326,26.7,4162,352.4,96.11,6.77128E+11,3.015,8324
2327,35.66,4263,306.1,94.21,1.05508E+12,3.06,8526
2328,25.21,4217,376,107.77,9.132E+11,3.212,8434
2329,27,4214,330.3,91.04,9.67342E+11,2.738,8428
2330,25.52,4255,324.8,81.82,8.4506E+11,2.868,8510
2331,32.39,4180,342.6,81.81,1.31667E+12,2.819,8360
2332,36.85,4270,355.1,90.17,8.1202E+11,3.027,8540
2333,20.93,4142,393.1,82.08,8.88284E+11,2.93,8284
2334,26.76,4271,356.8,95.66,8.72021E+11,2.91,8542
2335,27.29,4150,396.8,90.33,9.81328E+11,3.417,8300
2336,24.75,4209,377.6,108.92,1.37743E+12,3.07,8418
2337,21.32,4247,371.9,103.44,8.93516E+11,3.22,8494
2338,33.42,4133,362.8,85.33,6.31964E+11,2.943,8266
2339,29.43,4195,337.1,105.53,9.89812E+11,2.943,8390
2340,32.82,4195,363.5,78.49,1.12747E+12,2.799,8390
2341,37.6,4220,377.6,110.25,7.93894E+11,3.012,8440
2342,26.31,4298,331.8,87.88,9.91298E+11,2.903,8596
2343,31.76,4209,396.5,77.9,9.62117E+11,2.799,8418
2344,26.09,4219,312.7,94.96,1.1094E+12,2.86,8438
2345,27.98,4201,358.4,97.48,1.0283E+12,2.946,8402
2346,30.51,4136,369.8,89.08,6.65513E+11,2.608,8272
2347,27.54,4133,364.1,82.41,1.16562E+12,2.944,8266
2348,19.45,4121,346.7,100.42,1.18397E+12,3.091,8242
2349,37.57,4337,314.8,92.02,1.08583E+12,2.756,8674
2350,29.43,4230,353.1,105.65,9.6321E+11,2.99,8460
2351,21.65,4206,356.9,120.89,1.09809E+12,2.718,8412
2352,15.26,4142,361.1,103.69,8.06792E+11,3.045,8284
2353,28.38,4140,316.2,96.82,9.7487E+11,3.037,8280
2354,32.45,4364,368.4,142.82,9.21315E+11,2.64,8728
2355,34.59,4187,330.9,97.87,8.26668E+11,3.183,8374
2356,35.24,4190,357.7,66.11,1.29686E+12,2.931,8380
2357,26.24,4224,363.2,89.32,6.81569E+11,2.65,8448
2358,32.4,4270,364.4,86.47,1.20989E+12,2.729,8540
2359,19.27,4114,397,89.95,9.5713E+11,3.426,8228
2360,29.44,4069,367.1,122.43,1.05176E+12,2.818,8138
2361,34.03,4159,372.2,63.98,1.06635E+12,2.894,8318
2362,24.87,4120,332.9,89.47,9.81237E+11,2.591,8240
2363,27.57,4180,340.4,131.75,1.06702E+12,3.053,8360
2364,29.17,4109,344.9,98.08,1.0105E+12,2.928,8218
2365,29.36,4179,324.3,73.62,1.06274E+12,2.86,8358
2366,37.48,4128,368.7,98.68,8.82813E+11,3.487,8256
2367,22.05,4289,360.4,99.79,8.39929E+11,2.954,8578
2368,36.58,4188,389.2,96.75,1.21869E+12,2.737,8376
2369,21.04,4156,366.2,102.1,9.78881E+11,3.126,8312
2370,24.52,4170,320.9,81.41,9.33055E+11,2.785,8340
2371,23.87,4293,360,86.36,7.76456E+11,3.323,8586
2372,28.01,4201,316.3,61.26,1.02448E+12,3.158,8402
2373,25.56,4203,382.5,108.47,1.03461E+12,2.926,8406
2374,31.44,4284,378,100.93,1.25058E+12,2.784,8568
2375,28.61,4209,352.5,100.2,1.08679E+12,2.841,8418
2376,41.76,4070,317,95.84,6.48685E+11,3.246,8140
2377,30.86,4268,402.9,86.81,1.03162E+12,3.079,8536
2378,27.02,4179,374.5,100.51,9.45182E+11,3.144,8358
2379,30.78,4254,322,90.05,9.60445E+11,2.999,8508
2380,32.13,4228,328.1,104.46,9.96526E+11,3.114,8456
2381,27.39,4225,310.7,89.8,1.00972E+12,2.807,8450
2382,21.85,4160,375.8,120.03,7.54324E+11,3.162,8320
2383,23.7,4256,369.7,76.97,1.05286E+12,3.314,8512
2384,29.61,4192,349.7,85.37,1.03704E+12,2.703,8384
2385,33.55,4085,309.4,106.1,1.04398E+12,3.032,8170
2386,31.43,4114,360.8,77.98,1.00547E+12,3.147,8228
2387,28.02,4246,329.2,97.47,8.67938E+11,2.801,8492
2388,31.93,4111,319.4,83.91,1.11718E+12,2.782,8222
2389,25.58,4191,341,104.67,8.73259E+11,3.554,8382
2390,30.1,4137,349.7,90.8,9.85719E+11,3.316,8274
2391,37.07,4198,355.4,88.92,8.9722E+11,3.086,8396
2392,35.24,4172,349.9,100.55,9.57174E+11,3.075,8344
2393,36.68,4258,399.7,92.3,1.14585E+12,3.317,8516
2394,26.31,4107,383.4,68.2,1.01128E+12,3.025,8214
2395,29.76,4243,365.1,105.22,9.97037E+11,3.401,8486
2396,22.47,4230,417.2,67.53,1.12637E+12,3.238,8460
2397,34.05,4119,357.6,96.69,8.68994E+11,3.082,8238
2398,25.98,4254,412.6,93.35,1.02582E+12,3.057,8508
2399,20.61,4241,341.1,98.2,8.92612E+11,3.137,8482
2400,25.54,4114,322.6,113.21,1.14112E+12,3.282,8228
2401,30.04,4100,349.4,80.56,1.21275E+12,2.672,8200
2402,15.27,4140,327.8,82.76,7.93375E+11,3.02,8280
2403,20.02,4231,350.7,103.13,9.9441E+11,2.727,8462
2404,34.45,4282,343.5,85.38,1.0162E+12,3.164,8564
2405,29.09,4172,373.4,117.5,9.89912E+11,2.924,8344
2406,28.24,4275,349.2,82.84,1.16133E+12,2.825,8550
2407,18.86,4222,373.1,110.62,9.50696E+11,2.983,8444
2408,38.03,4326,391,111.89,1.08092E+12,2.996,8652
2409,34.68,4213,315.9,106.1,8.566E+11,3.149,8426
2410,32.73,4207,384.9,82.65,8.40401E+11,3.092,8414
2411,21.84,4138,356.2,103.3,1.07819E+12,2.889,8276
2412,31.98,4195,338.8,115.47,8.18549E+11,2.903,8390
2413,35.38,4286,399,105.64,1.01932E+12,2.775,8572
2414,26.55,4348,367.3,119.5,8.25137E+11,3.011,8696
2415,27.01,4118,326.2,81.61,9.19847E+11,2.709,8236
2416,25.67,4307,361.4,94.09,1.17247E+12,3.317,8614
2417,32.1,4164,308.2,135.65,9.27429E+11,2.965,8328
2418,27.09,4306,398.3,86.78,1.27795E+12,2.693,8612
2419,26.6,4126,398.8,74.97,7.90602E+11,2.94,8252
2420,19.78,4171,319.5,96.81,1.00719E+12,3.356,8342
2421,18.53,4212,357.3,83.05,1.02628E+12,3.195,8424
2422,34.13,4253,336.4,98.26,1.0876E+12,3.195,8506
2423,37.95,4195,417.1,115.34,1.29287E+12,3.085,8390
2424,33.69,4091,407.7,81.19,1.25552E+12,2.704,8182
2425,37.01,4192,359.6,87.01,8.11127E+11,2.961,8384
2426,25.25,4322,398.5,64.54,1.21161E+12,2.72,8644
2427,28.19,4188,317.1,79.72,9.2985E+11,2.989,8376
2428,30.73,4239,326.2,97.12,9.87047E+11,2.893,8478
2429,27.49,4205,331.9,95.71,8.22492E+11,3.256,8410
2430,38.51,4295,302.3,82.89,1.01919E+12,3.473,8590
2431,20.52,4092,382.7,103.86,1.05298E+12,2.922,8184
2432,25.04,4236,331.4,145.46,8.69724E+11,2.802,8472
2433,26.38,4216,334.4,109.42,1.07929E+12,3.312,8432
2434,24.23,4311,387.9,122.52,1.0273E+12,3.053,8622
2435,33.54,4203,342.9,103.04,8.96486E+11,3.065,8406
2436,16.5,4196,366.1,83.3,8.35943E+11,3.382,8392
2437,35.3,4231,370.7,113.93,9.66368E+11,3.115,8462
2438,33.9,4202,390.6,109.05,1.06508E+12,2.867,8404
2439,30.38,4150,327.8,73.28,1.12695E+12,2.897,8300
2440,36.86,4151,341.5,87.17,9.27407E+11,3.094,8302
2441,42.58,4085,347.5,98.75,8.97125E+11,3.145,8170
2442,29.59,4199,347.5,105.55,1.16944E+12,2.806,8398
2443,32.88,4092,334.8,65.04,8.75209E+11,3.399,8184
2444,30.86,4155,363.3,108.59,9.89785E+11,2.753,8310
2445,31.64,4288,339,99.88,1.07267E+12,2.63,8576
2446,25.48,4278,382.1,118.4,1.13078E+12,3.015,8556
2447,24.2,4216,316.8,91.6,8.18474E+11,2.459,8432
2448,32.18,4086,375,108.05,7.91162E+11,2.915,8172
2449,25.41,4299,314.1,91.84,8.09352E+11,3.334,8598
2450,34.13,4119,368.4,94.93,8.79279E+11,2.988,8238
2451,33.33,4146,382.5,91.36,9.65922E+11,2.702,8292
2452,25.88,4237,303.4,85.1,1.183E+12,2.934,8474
2453,30.74,4169,342.6,81.51,1.07381E+12,2.912,8338
2454,29.04,4219,318.2,99.67,1.2121E+12,3.285,8438
2455,27.75,4166,384,84.56,1.01238E+12,3.053,8332
2456,35.37,4130,364.5,100.79,8.83821E+11,2.813,8260
2457,28.83,4293,379.2,96.5,7.95009E+11,3.161,8586
2458,29.99,4148,365.3,76.68,1.09616E+12,3.075,8296
2459,16.96,4219,368.1,81.53,1.11041E+12,2.937,8438
2460,32.18,4165,362.3,104.72,8.97737E+11,3.272,8330
2461,19.97,4161,319.7,66.87,8.97992E+11,3.145,8322
2462,26.28,4143,339.1,117.31,9.55547E+11,2.841,8286
2463,38.25,4137,377.5,80.26,9.84116E+11,3.187,8274
2464,39.3,4186,389.4,77.78,1.12259E+12,3.04,8372
2465,26.27,4234,336.5,120.37,1.00601E+12,3.148,8468
2466,21.07,4224,367.8,64.94,1.05515E+12,3.161,8448
2467,31,4208,376.7,90.87,1.12646E+12,3.246,8416
2468,26.22,4357,312.6,95.59,1.07666E+12,2.913,8714
2469,30.65,4322,327.6,89.79,1.14716E+12,3.247,8644
2470,20.55,4185,329.5,87.46,1.09926E+12,2.624,8370
2471,35.33,4254,396.9,97.74,1.02041E+12,2.878,8508
2472,37.9,4192,375.1,73.13,9.722E+11,2.802,8384
2473,19.95,4106,336.6,87.58,1.06134E+12,2.885,8212
2474,24,4081,354.2,76.72,9.2864E+11,2.812,8162
2475,24.45,4207,366.2,82.6,1.21786E+12,2.91,8414
2476,33.02,4081,384.1,77.74,9.7462E+11,3.287,8162
2477,16.83,4306,358.2,106.84,7.7556E+11,2.802,8612
2478,29.87,4185,416.6,105.83,1.2804E+12,2.96,8370
2479,27.26,4188,348.2,90.21,8.83347E+11,3.104,8376
2480,23.88,4206,376.3,98.16,1.01497E+12,2.933,8412
2481,32.85,4230,348.9,110.92,1.12322E+12,2.895,8460
2482,16.94,4149,335,111.56,1.0276E+12,3.169,8298
2483,20.43,4134,353.6,84.23,1.13035E+12,2.94,8268
2484,23.94,4244,356.5,99.14,6.68514E+11,3.038,8488
2485,32.89,4216,367.1,122.25,8.48796E+11,2.972,8432
2486,26.55,4147,356.9,97.05,8.27463E+11,3.198,8294
2487,23.67,4254,402.3,100.93,1.21564E+12,2.878,8508
2488,31.52,4243,347.3,76.25,9.70787E+11,3.338,8486
2489,25.77,4195,376.5,101.85,8.73004E+11,2.889,8390
2490,24.79,4214,341.5,72.77,1.06678E+12,2.773,8428
2491,26.84,4212,331,113.65,8.07125E+11,2.884,8424
2492,30.69,4198,352.7,125.68,1.08152E+12,3.118,8396
2493,44.82,4136,351.6,106.24,1.07812E+12,3.003,8272
2494,22.15,4292,339.5,94.04,8.98481E+11,3.173,8584
2495,30.34,4194,376.5,69.98,1.1413E+12,2.766,8388
2496,27.75,4152,322.2,125.51,8.35078E+11,2.828,8304
2497,27.13,4147,398.6,69.75,9.5159E+11,2.739,8294
2498,37.8,4272,377.2,76.52,6.12586E+11,2.791,8544
2499,33.35,4209,356.5,106.33,9.66827E+11,3.171,8418
2500,32.74,4173,336.9,72.62,9.17553E+11,3.177,8346
2501,26.01,4301,341.4,141.07,9.7763E+11,2.875,8602
2502,23.65,4111,343.2,121.32,8.847E+11,2.792,8222
2503,30.5,4169,357.3,114.19,1.08282E+12,2.949,8338
2504,27.03,4175,353.5,93.46,1.0361E+12,3.091,8350
2505,25.31,4252,367.9,76.16,1.05889E+12,3.005,8504
2506,32.77,4264,338.4,76.2,1.0821E+12,3.474,8528
2507,21.53,4227,359.2,89.07,9.75954E+11,2.73,8454
2508,24.41,4189,330.4,82.38,1.04945E+12,3.12,8378
2509,33.49,4188,340.9,124.28,1.08246E+12,2.781,8376
2510,28.28,4243,392.2,89.83,9.34831E+11,3.24,8486
2511,32.78,4159,342.1,87.01,7.99223E+11,2.879,8318
2512,23.67,4134,370.9,95,1.17188E+12,2.974,8268
2513,33.01,4096,384.1,83.66,1.05253E+12,3.138,8192
2514,24.54,4162,304.8,102.93,1.11451E+12,2.955,8324
2515,36.92,4196,355.9,90.13,1.20363E+12,3.005,8392
2516,33.55,4168,381.7,106.58,9.23545E+11,3.265,8336
2517,31.59,4299,403.1,110.47,1.09598E+12,2.694,8598
2518,38.02,4233,357.8,140.21,9.42166E+11,2.912,8466
2519,30.92,4147,364.7,75.31,1.24462E+12,2.772,8294
2520,25.04,4170,361.9,104.64,1.17522E+12,3.295,8340
2521,38.14,4191,341.9,96.73,1.01995E+12,3.212,8382
2522,30.92,4245,376.4,131.61,1.30162E+12,3.072,8490
2523,36.15,4312,350,96.52,1.16086E+12,3.202,8624
2524,29.77,4204,307.1,125.52,1.01113E+12,2.948,8408
2525,35.83,4267,379.8,111.3,1.17797E+12,3.035,8534
2526,23.68,4281,354,123.57,7.29751E+11,3.107,8562
2527,21.3,4235,384.2,103.78,9.29521E+11,2.765,8470
2528,20.46,4189,362.4,122.59,1.18627E+12,3.012,8378
2529,33.44,4285,383.1,68.53,9.81929E+11,2.852,8570
2530,17.11,4165,346.6,86.74,1.10925E+12,2.676,8330
2531,18.21,4187,300.9,81.71,8.41873E+11,2.644,8374
2532,20.4,4264,371,118.17,1.01632E+12,3.042,8528
2533,30.29,4209,304.1,94.64,9.53546E+11,2.717,8418
2534,31.53,4264,359.3,83.79,1.04524E+12,3.175,8528
2535,24.03,4316,365.7,135.18,8.74079E+11,3.008,8632
